id;nickname;gender;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC;M
IQBZ;0;1;1;2;3;0;31;1;1;0;0;0;0;0;0;0;0;0;0.5;0.0555555555555555;0.6666666666666666;0.0;0.0
ZUXX;0;1;1;1;3;0;29;1;1;0;0;0;0;0;0;0;0;0;0.75;0.25;0.8;0.0;0.0
ADFF;0;1;3;1;3;0;35;1;1;0;0;0;0;0;1;0;0;0;0.5;0.0555555555555555;0.6666666666666666;0.0;0.0
FFII;0;1;2;1;2;0;45;1;1;1;0;0;0;0;1;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
V4LK;0;1;3;1;5;0;45;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
XRSE;0;1;4;3;5;0;24;0;0;0;0;0;0;0;1;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
C8H3;0;1;1;3;3;0;31;0;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.2857142857142857
P6PS;0;1;1;2;2;0;29;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
MZT9;0;1;3;1;2;0;41;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
V0EL;1;1;3;1;3;0;32;0;1;1;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.1428571428571428
V5X8;0;1;2;1;2;0;35;1;1;1;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
BTPA;0;1;3;0;0;0;26;1;1;1;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
JPPD;0;1;4;3;5;0;37;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
BITD;0;1;4;3;5;0;36;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
XUG9;0;1;4;3;5;0;35;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
FFRE;0;0;4;3;5;0;31;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
M7BH;1;1;2;1;3;0;47;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
FILM;1;1;3;1;3;0;44;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.2857142857142857
UVR7;0;1;4;3;5;0;37;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0;0.0
VBEE;0;1;3;2;5;0;34;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0;0.0
Q7AY;1;1;3;1;5;0;46;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;1.0;0.0
YIHR;1;1;1;0;3;0;31;0;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
R0NH;1;1;1;2;2;0;51;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.2857142857142857
O8M4;1;1;3;1;3;0;40;0;1;1;0;0;0;1;0;0;1;0;0.3333333333333333;0.0;0.6;0.0;0.2857142857142857
KAJP;1;1;2;1;2;0;36;0;1;1;0;0;0;1;0;0;1;0;1.0;1.0;1.0;0.0;0.1428571428571428
PAP7;0;1;1;2;2;0;28;0;1;0;0;0;0;0;0;0;1;0;0.3333333333333333;0.0;0.6;0.0;0.2857142857142857
GVO0;0;1;3;0;2;0;26;0;1;0;0;0;0;0;0;0;1;0;0.3333333333333333;0.0;0.6;0.0;0.1428571428571428
P9NQ;0;1;3;1;2;0;33;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
E1QH;0;1;3;1;3;0;38;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
TSGB;1;1;4;3;5;0;37;0;1;1;0;0;0;1;0;0;1;1;1.0;0.0;1.0;1.0;0.1428571428571428
NTBO;1;1;4;3;5;0;33;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
R5IC;0;0;4;3;5;0;31;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
FNRU;0;1;3;1;2;0;30;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
U6US;0;1;1;1;2;0;29;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
TWKB;0;1;1;0;2;0;29;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
U6FN;0;1;4;3;5;0;28;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
QIW2;0;1;3;0;3;0;24;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
XYPZ;0;1;3;1;3;0;32;0;1;1;0;0;0;0;0;0;1;1;1.0;0.0;1.0;0.0;0.0
T8NL;0;1;2;1;2;0;26;0;0;0;0;0;0;0;0;0;0;1;1.0;0.0;1.0;0.0;0.1428571428571428
X8VZ;0;1;1;0;1;0;24;1;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
YVZE;0;1;3;1;2;0;29;1;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
CTL6;1;1;3;0;3;0;29;1;1;0;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
QTQF;0;1;3;0;2;0;27;0;1;1;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
EWGS;1;1;3;1;2;0;25;1;0;0;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.1428571428571428
KXAZ;0;0;2;1;2;0;26;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
BOPO;1;1;3;1;2;0;25;0;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
H2AW;0;1;1;2;4;0;36;1;1;1;0;0;0;1;0;0;1;0;1.0;1.0;1.0;0.0;0.4285714285714285
XRXV;0;1;3;0;2;0;31;1;1;0;0;0;0;1;1;0;1;1;0.3333333333333333;0.0;0.6;0.0;0.1428571428571428
EEZO;1;1;3;1;4;0;44;1;1;1;0;0;0;1;0;0;0;0;0.3333333333333333;0.0;0.6;0.0;0.2857142857142857
SUWA;1;1;1;2;3;0;43;1;1;1;0;0;0;1;0;0;0;1;0.3333333333333333;0.0;0.6;0.0;0.1428571428571428
IEHW;0;1;3;3;3;0;46;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.4285714285714285
EYI7;1;1;3;0;2;0;24;1;0;1;0;0;0;1;1;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
GCSE;0;1;2;1;2;0;24;1;0;0;0;0;0;1;0;0;0;0;0.5;0.5;0.6666666666666666;0.0;0.4285714285714285
K0XX;0;1;2;1;2;0;23;1;0;0;0;0;0;1;1;0;1;0;0.5;0.0;0.5714285714285714;1.0;0.4285714285714285
LBAO;0;1;3;1;2;0;22;1;0;0;0;0;0;1;1;0;1;0;0.5;0.0;0.5714285714285714;1.0;0.4285714285714285
L6Z7;0;1;2;1;1;0;21;1;0;0;0;0;0;1;0;0;0;0;0.25;0.0;0.4444444444444444;0.0;0.1428571428571428
BIKK;0;1;1;0;3;0;24;1;0;0;0;0;0;1;1;0;1;0;0.75;0.6666666666666666;0.8;0.3333333333333333;0.1428571428571428
Q0ZF;0;1;2;1;2;0;38;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
KNYJ;1;1;3;0;3;0;34;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
HHW7;0;0;1;2;2;0;26;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
OHRR;0;1;3;2;2;0;25;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
KDB7;0;1;2;0;2;0;24;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
MIO1;0;1;1;0;2;0;23;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
W9RZ;0;1;2;1;2;0;24;1;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
IDXI;0;1;4;3;5;0;21;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
R9CB;0;1;4;3;5;0;44;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
U8ZG;1;1;3;1;2;0;27;0;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
NHU3;1;1;2;1;3;0;26;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
BHZE;1;1;3;1;3;0;43;0;0;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.2857142857142857
ZOUE;0;1;1;2;1;0;23;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
TRQF;0;1;1;0;4;0;28;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
